gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group,LifetimeCharges,Churn
1,0,1,0,0.0,0,0,0,1,0,0,0,0,1,0.10999999999999999,0.0012693284098776831,1,0,0,1,0,0,0,0,1,0,,0.0,0
0,0,0,0,0.46478873239436624,1,0,1,0,1,0,0,0,0,0.38000000000000006,0.21590122317101318,1,0,0,0,1,0,0,0,0,1,0-12,0.1766197183098592,0
0,0,0,0,0.014084507042253521,1,0,1,1,0,0,0,0,1,0.35000000000000003,0.010385414262635588,1,0,0,1,0,0,0,0,0,1,0-12,0.004929577464788733,1
0,0,0,0,0.619718309859155,0,0,1,0,1,1,0,0,0,0.24,0.21024694207246714,1,0,0,0,1,0,1,0,0,0,0-12,0.1487323943661972,0
1,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,1,0.52,0.015347334410339258,0,1,0,1,0,0,0,0,1,0,0-12,0.007323943661971832,1
1,0,0,0,0.09859154929577466,1,1,0,0,1,0,1,1,1,0.81,0.0925455804292638,0,1,0,1,0,0,0,0,1,0,0-12,0.07985915492957747,1
0,0,0,1,0.295774647887324,1,1,0,1,0,0,1,0,1,0.71,0.2228248326794369,0,1,0,1,0,0,0,1,0,0,0-12,0.21000000000000002,0
1,0,0,0,0.1267605633802817,0,0,1,0,0,0,0,0,0,0.10999999999999999,0.032656358181398566,1,0,0,1,0,0,0,0,0,1,0-12,0.013943661971830983,0
1,0,1,0,0.3802816901408451,1,1,0,0,1,1,1,1,1,0.8600000000000001,0.349411493191784,0,1,0,1,0,0,0,0,1,0,0-12,0.3270422535211268,1
0,0,0,1,0.8591549295774649,1,0,1,1,0,0,0,0,0,0.38000000000000006,0.4003000230786984,1,0,0,0,1,0,1,0,0,0,0-12,0.3264788732394367,0
0,0,1,1,0.16901408450704225,1,0,1,0,0,0,0,0,1,0.31,0.06565889683821834,1,0,0,1,0,0,0,0,0,1,0-12,0.052394366197183094,0
0,0,0,0,0.2112676056338028,1,0,0,0,0,0,0,0,0,0.0,0.035541195476575124,0,0,1,0,0,1,0,1,0,0,0-12,0.0,0
0,0,1,0,0.8028169014084507,1,1,0,0,1,0,1,1,0,0.8200000000000001,0.6534733441033925,0,1,0,0,1,0,0,1,0,0,0-12,0.6583098591549297,0
0,0,0,0,0.676056338028169,1,1,0,1,1,0,1,1,1,0.8500000000000001,0.5790445418878375,0,1,0,1,0,0,1,0,0,0,0-12,0.5746478873239437,1
0,0,0,0,0.33802816901408456,1,0,1,0,1,1,1,1,1,0.8700000000000001,0.30786983614124164,0,1,0,1,0,0,0,0,1,0,0-12,0.2940845070422536,0
1,0,1,1,0.9577464788732395,1,1,1,1,1,1,1,1,0,0.9500000000000002,0.908954534964228,0,1,0,0,0,1,0,1,0,0,0-12,0.9098591549295777,0
1,0,0,0,0.7183098591549296,1,0,0,0,0,0,0,0,0,0.020000000000000018,0.11585506577429035,0,0,1,0,1,0,0,0,0,1,0-12,0.014366197183098605,0
0,0,0,1,0.9859154929577465,1,1,1,0,1,0,1,1,0,0.8800000000000001,0.8497576736672051,0,1,0,0,0,1,1,0,0,0,0-12,0.8676056338028171,0
1,0,1,1,0.1267605633802817,1,0,0,0,1,1,0,0,0,0.37000000000000005,0.058850680821601664,1,0,0,1,0,0,0,1,0,0,0-12,0.04690140845070423,1
1,0,0,0,0.28169014084507044,1,0,0,1,1,0,0,1,1,0.72,0.21278559889222248,0,1,0,1,0,0,0,0,1,0,0-12,0.2028169014084507,0
0,1,0,0,0.0,0,0,0,0,1,0,0,1,1,0.21000000000000002,0.002423263327948304,1,0,0,1,0,0,0,0,1,0,,0.0,1
0,0,1,0,0.15492957746478872,1,0,0,0,0,0,0,0,0,0.010000000000000009,0.02123240249249942,0,0,1,0,1,0,1,0,0,0,0-12,0.0015492957746478886,0
0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.020000000000000018,0.00023078698361412436,0,0,1,1,0,0,0,0,0,1,,0.0,1
1,0,1,0,0.8028169014084507,1,1,0,1,0,1,0,0,1,0.41,0.4023771059312255,1,0,0,0,0,1,0,1,0,0,0-12,0.3291549295774648,0
0,0,1,1,0.676056338028169,1,0,1,1,0,1,0,0,0,0.41,0.3406415878144473,1,0,0,1,0,0,0,1,0,0,0-12,0.27718309859154927,0
1,0,0,0,0.4084507042253521,1,0,1,1,0,0,0,0,1,0.37000000000000005,0.17447495961227788,1,0,0,1,0,0,1,0,0,0,0-12,0.1511267605633803,0
0,0,1,1,0.647887323943662,1,1,0,1,0,0,1,1,1,0.81,0.5459266097392107,0,1,0,1,0,0,0,0,1,0,0-12,0.5247887323943663,1
0,0,1,1,0.0,0,0,0,1,0,0,0,0,0,0.12,0.0013847219016847449,1,0,0,1,0,0,0,0,1,0,,0.0,1
0,0,1,0,1.0,1,1,1,1,1,1,1,1,1,0.72,0.7328640664666513,1,0,0,0,0,1,0,1,0,0,0-12,0.72,0
1,0,0,1,0.22535211267605634,1,0,0,0,0,0,1,1,1,0.46,0.12404800369259175,1,0,0,1,0,0,0,0,0,1,0-12,0.10366197183098592,1
1,1,1,0,0.9859154929577465,1,1,1,1,1,1,0,0,1,0.78,0.778675282714055,0,1,0,0,0,1,0,1,0,0,0-12,0.7690140845070423,0
0,1,1,0,0.014084507042253521,1,0,0,0,1,0,1,1,1,0.77,0.01880913916455112,0,1,0,1,0,0,0,1,0,0,0-12,0.010845070422535212,0
1,0,1,1,0.36619718309859156,1,0,1,1,1,1,0,0,0,0.48000000000000004,0.21417032079390724,1,0,0,0,1,0,0,0,0,1,0-12,0.17577464788732397,0
0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.020000000000000018,0.00023078698361412436,0,0,1,1,0,0,1,0,0,0,,0.0,0
0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.27,0.0031156242787906763,1,0,0,1,0,0,1,0,0,0,,0.0,0
1,0,1,1,1.0,1,1,1,1,0,1,1,0,0,0.81,0.83464112624048,0,1,0,0,0,1,1,0,0,0,0-12,0.81,0
0,0,0,0,0.056338028169014086,1,0,0,0,0,0,0,0,1,0.51,0.0343872605585045,0,1,0,1,0,0,0,0,1,0,0-12,0.028732394366197185,1
1,0,0,0,0.6338028169014085,1,0,0,0,1,0,0,0,1,0.56,0.4073390260789292,0,1,0,1,0,0,0,1,0,0,0-12,0.3549295774647888,0
0,0,0,0,0.46478873239436624,1,1,0,1,1,0,1,1,1,0.8800000000000001,0.40745441957073625,0,1,0,1,0,0,0,0,1,0,0-12,0.40901408450704235,1
1,0,0,0,0.14084507042253522,1,1,0,0,1,0,1,1,1,0.79,0.12543272559427648,0,1,0,1,0,0,1,0,0,0,0-12,0.11126760563380282,1
0,0,1,1,0.1267605633802817,1,0,0,1,0,0,0,0,0,0.31,0.05273482575582737,1,0,0,0,1,0,0,0,0,1,0-12,0.039295774647887326,0
1,0,1,1,0.971830985915493,1,1,1,1,0,0,1,0,1,0.51,0.5601200092314793,1,0,0,0,0,1,0,1,0,0,0-12,0.49563380281690145,0
1,0,1,1,0.22535211267605634,1,0,0,0,0,0,0,0,0,0.020000000000000018,0.04615739672282483,0,0,1,0,1,0,0,0,0,1,0-12,0.0045070422535211305,0
